,eigan_values,PCA_components
0,5.88926150752,1
1,0.957956157235,2
2,0.800410479762,3
3,0.607594460687,4
4,0.504997654991,5
5,0.412538155549,6
6,0.371363805678,7
7,0.0992281972355,8
8,0.171951037527,9
9,0.18469854381,10
