,national_rank,publications,quality_of_faculty
397,62,972,210
398,5,228,210
399,15,350,210
400,29,541,218
401,26,679,210
402,4,126,80
403,83,860,210
404,26,769,210
405,14,10,15
406,7,175,218
407,22,543,210
408,10,393,218
409,211,949,210
410,16,731,218
411,21,36,21
412,1,228,116
413,65,140,131
414,21,902,218
415,40,29,96
416,22,570,210
417,19,258,218
418,9,367,218
419,16,395,210
420,50,747,218
421,1,994,218
422,196,494,210
423,10,405,218
424,80,900,210
425,51,625,218
426,12,475,210
427,54,986,218
428,96,238,210
429,47,618,210
430,66,990,218
431,3,704,210
432,106,203,218
433,13,254,218
434,25,761,218
435,2,340,218
436,129,639,210
437,62,609,218
438,171,463,210
439,15,765,210
