,national_rank,publications,influence
398,5,228,245
399,15,350,684
400,29,541,703
401,26,679,907
402,4,126,121
403,83,860,973
404,26,769,584
405,14,10,8
406,7,175,324
407,22,543,770
408,10,393,268
409,211,949,560
410,16,731,939
411,21,36,45
412,1,228,238
413,65,140,118
414,21,902,991
415,40,29,74
416,22,570,786
417,19,258,139
418,9,367,426
419,16,395,511
420,50,747,808
421,1,994,851
422,196,494,514
423,10,405,589
424,80,900,862
425,51,625,458
426,12,475,680
427,54,986,770
428,96,238,223
429,47,618,800
430,66,990,917
431,3,704,452
432,106,203,298
433,13,254,274
434,25,761,974
435,2,340,683
436,129,639,442
437,62,609,716
438,171,463,585
439,15,765,883
