x,y,type
1312.1206117,-11.937780017,1
-173.62968929,-542.181666412,1
-1110.45896835,152.66758403,1
418.488563521,-210.663191785,1
-1295.81135547,111.656662295,1
-445.393811043,349.935221249,1
-688.531225689,195.429258761,1
-526.140938873,-515.080750971,1
362.709683832,-256.277783102,1
574.855092916,-179.043369882,1
1107.22826596,51.1824027097,1
-899.107081462,-18.1405153948,1
-876.857919631,107.21064644,1
781.887352753,-77.6479676182,1
786.010501386,-238.027267657,1
490.647049825,774.980504604,1
1289.73357998,-18.4597167843,1
498.423471834,775.346120629,1
1459.63637295,48.5033006334,1
6.77774889711,-372.411607921,1
242.610140029,663.274847334,1
16.6831573539,-290.032615789,1
-194.249345814,-347.757762618,1
-153.189538323,-663.12513238,1
1446.12105711,43.7431604994,1
-111.5906373,-448.053609205,1
-782.781455647,271.689806549,1
-1207.92599243,144.458236179,1
-14.9802113556,533.523542142,1
-1025.15450416,84.0701062432,1
1129.78859071,73.8815703492,1
141.54516849,623.7908151,1
1234.4665086,86.2241737195,1
417.81913269,-194.467339126,1
447.494584355,-255.669664742,1
767.80128001,-66.616697348,1
-857.106646254,213.418915855,1
815.93231314,-55.4689587676,1
-992.823110751,168.857339558,1
314.011890923,-624.769348685,1
-734.498263248,239.992210326,1
1423.47184914,12.0034656911,1
1249.61209788,-8.28007687806,1
-1063.07746589,64.1084819191,1
409.343358549,713.992637027,1
1275.84133867,58.5232601728,1
1345.88347375,92.6587296902,1
753.703037978,-71.4160218301,1
1362.90254385,8.47533929346,1
308.739755182,-216.858699107,1
-384.756310061,313.096146118,1
-682.134743219,206.15486499,1
-278.427451068,-387.839551882,1
225.835920344,658.589203171,1
-1075.41555653,110.18658205,1
-1257.31949592,93.3280487287,1
327.182378346,-257.227739444,1
-196.834370468,436.157248525,1
-918.840338433,265.454477347,1
-505.724537993,-569.84595331,1
-614.045015427,273.352820074,1
-1141.29081068,298.999994487,1
1256.27844275,70.0742039698,1
-1366.16807728,49.0459419357,1
-946.693155706,197.4127116,1
-317.822462182,-416.51653961,1
437.408470996,-657.277607992,1
-544.70081644,-559.376322815,1
-723.33392502,45.2682637146,1
-500.137448168,314.120817664,1
-335.577566116,-474.486988142,1
1345.14312192,60.7617391236,1
1215.0476264,9.08510525713,1
-1443.43969959,-50.6498347857,1
1320.67675686,173.214260131,1
-413.93660122,-710.194950629,1
-1119.08678984,46.8851902734,1
-1218.86949981,139.270811763,1
-614.058578042,-645.119376087,1
-90.8261946388,-256.586461609,1
1370.42112956,113.54459715,1
689.676044598,-152.443022958,1
-435.542057445,305.102925626,1
977.599938824,-22.0755750855,1
395.92443431,-347.188347355,1
360.912059851,-243.104684399,1
376.773627474,-508.646093849,1
-19.5361121022,-415.544683083,1
489.057734903,-264.623178095,1
-356.603784103,-455.267016901,1
839.418105565,-36.9923117319,1
1407.22724297,24.3544409043,1
-157.685170859,-522.839007595,1
-355.85033259,-523.557755133,1
-385.963460909,-449.780629963,1
-294.269637194,425.039722703,1
1419.07893903,33.8377577187,1
-441.280110577,329.585240841,1
182.021413457,621.266836644,1
-1002.60576352,98.5914157403,1
-196.810914436,399.793942478,1
-653.954398142,-281.031527945,1
-551.361971237,-560.034701126,1
-380.359216398,341.611714108,1
784.555175089,-136.650108849,1
1399.95794936,112.123289899,1
197.485393654,486.896482358,1
-142.309729927,-448.268030246,1
-1266.45692185,144.882699209,1
-1215.88472889,182.520979557,1
-323.365270319,-411.379821845,1
-1310.58081805,32.381702401,1
110.15146034,-644.375647374,1
1072.707757,80.0137087135,1
-1205.84107483,62.6937641686,1
686.663170783,-136.962948061,1
120.804067394,630.158833037,1
-1025.76592802,166.067409676,1
-480.361147537,-455.183215549,1
-857.615799617,-97.0865524857,1
-291.468257188,-433.592373591,1
-1025.59144099,157.618438948,1
-416.31982234,293.660347669,1
276.60697939,-159.540173931,1
184.618682937,622.417187931,1
223.896542329,659.523581287,1
588.892169689,-160.600745503,1
-221.585287388,-276.952657055,1
282.31376744,-243.034247974,1
65.5087108872,-362.670785178,1
246.258760751,654.831995667,1
-1030.64987722,4.66923969223,1
1101.04356429,41.4346158602,1
-723.631327875,362.823096027,1
1179.03415072,120.361053885,1
1262.08642465,-2.26750911879,1
1291.26429685,-43.4752298483,1
916.426177743,18.4966369523,1
-681.530599796,193.784486,1
-398.989097819,-340.556162035,1
-1123.81440773,123.425362517,1
18.3165713298,-314.281272507,1
1445.97751075,31.6353901264,1
121.715829302,574.576714826,1
1230.28019489,29.2547229658,1
165.940810179,-225.045861953,1
-967.520161863,184.852852716,1
-519.994463637,-587.116014538,1
154.612622832,-203.478908601,1
213.863000181,-264.780545377,1
310.743090043,669.436733642,1
-1175.36262667,172.82685063,1
-853.39752526,80.8001042793,1
261.724818815,678.98486878,1
-852.339708666,-2.9439389066,1
194.584803415,660.038255443,1
-641.059611456,7.23149656394,1
-1187.13991757,69.9644747292,1
1347.53940156,89.2689289255,1
79.803317319,-300.399189869,1
-247.514025308,-537.917886682,1
1273.19464109,69.0958996614,1
530.534197959,-270.60848489,1
-560.940813069,-590.313701126,1
-1206.14264025,125.004117985,1
-394.406411301,-459.835810336,1
-170.584168257,-544.335282668,1
1208.8326567,103.033063389,1
1453.71295805,32.3166048738,1
837.811242978,-13.5988511128,1
255.151313517,657.387984797,1
-451.743265064,-471.488251817,1
1390.27402238,102.646891134,1
-678.649024577,296.317838096,1
328.314011872,705.816238564,1
-427.086778412,-512.119363197,1
196.143339971,-292.920433664,1
-1292.26198136,12.7390431711,1
-974.384910316,-33.7825598629,1
-420.472524848,-488.303570536,1
1008.86009469,57.1734213675,1
-462.645633132,-538.50736389,1
-502.118587447,35.5324395605,1
-96.8643727642,492.52186894,1
1208.1775303,17.2094810453,1
289.44208369,-275.083253528,1
-844.216128384,126.69326336,1
-534.344474128,-499.381568442,1
1351.19883076,77.4957305417,1
-267.520720329,-564.957311586,1
-180.662677885,487.080560893,1
196.093297877,-325.62466517,1
206.640020703,-427.409842941,1
-383.18936786,388.408553102,1
-346.72923988,377.802181577,1
169.206827656,-622.18259855,1
-202.087092384,-478.478066239,1
-1263.99537058,88.7961842786,1
710.279476087,-113.313786806,1
-273.948314954,-469.566241447,1
1330.10559934,89.3342939639,1
-1081.7316412,16.7199977701,1
-271.03465873,424.13773755,1
-621.784023531,233.328210671,1
-597.789490866,-605.677664286,1
170.512349925,-397.48870926,1
-402.046702089,262.152587144,1
-163.753394063,-494.817467879,1
95.7488869033,595.664608907,1
238.27556068,658.026807022,1
378.17025791,-139.771671751,1
1216.29736317,11.7529926346,1
190.4337572,-306.118994888,1
1215.98975001,141.47157787,1
-1171.08206478,34.6263717483,1
-408.713408403,-576.12435463,1
-488.420858794,-506.841495345,1
657.760647601,-142.649007817,1
241.011203761,650.679967709,1
-798.865562518,154.635919853,1
1303.65455557,83.4045581127,1
-239.436163857,-515.38863663,1
168.763308571,484.986237472,1
583.759662693,-137.756883298,1
621.303043368,-199.380100915,1
45.7107441916,598.403994903,1
-1165.57378775,175.021317255,1
-167.016188334,-423.669411104,1
446.416938392,-256.738220946,1
329.38645128,707.744460192,1
-951.893610481,220.87918701,1
-360.629229609,-386.775401946,1
592.698541486,-154.946554455,1
188.252925222,-335.011369682,1
-127.107123947,-525.293147029,1
-64.4177608935,534.711991615,1
-839.3765042,192.479594282,1
-277.501032796,-306.602427034,1
-544.103653352,-565.502825003,1
-180.887474709,-592.777475095,1
80.4099351524,596.093090367,1
1083.07990396,67.5493866862,1
689.399456857,-100.488662169,1
-951.509965043,279.311060728,1
811.163155282,-36.9734724575,1
-913.841497091,147.427606584,1
-361.404033408,-349.809118625,1
-460.804842137,-497.868398872,1
1345.43802598,-24.968278642,1
-883.605913942,200.31391421,1
-973.102684389,137.386376876,1
-53.6367854584,-558.609982611,1
130.524613701,-395.728862672,1
1210.94685427,139.748558577,1
-387.129584672,327.932432621,1
-948.423846362,189.867157436,1
-153.629660358,-399.131978999,1
1283.15377647,69.8644657425,1
231.216057376,-299.703974349,1
56.791808744,-408.989800957,1
-191.769163542,431.3676532,1
1333.50401382,-17.1464189845,1
1013.69435227,-51.443346598,1
-68.1201522127,-554.119674137,1
-228.368167888,422.512529,1
-570.524474234,183.018787792,1
711.200801129,-71.6186133678,1
-902.3266015,356.310941974,1
-732.396317155,320.12427625,1
1279.18598548,-21.8383181272,1
-561.456743998,-557.196668565,1
-368.063936351,-579.342670906,1
-358.465050612,-511.726043333,1
1248.93505612,14.751736334,1
-308.03448803,-481.039342946,1
1383.25326558,98.7150429149,1
765.419400712,-88.112090999,1
-562.153180295,144.827581254,1
-496.105696739,291.627083548,1
948.546432252,-56.256290364,1
1333.61348059,-11.5631337871,1
1088.55294936,-56.4561003469,1
22.3126847673,575.864731444,1
1387.617886,108.497982121,1
-384.789551756,289.360133539,1
-96.2114301849,536.632216061,1
85.6966076025,593.377130226,1
-975.73262962,44.9646848883,1
-208.446687206,-477.527345819,1
-465.915472723,-465.673714499,1
177.413522639,633.58573039,1
1459.57593567,41.2325908028,1
-445.743908587,-586.687415612,1
-931.321144944,98.9859992258,1
268.061254067,686.281868891,1
193.257544974,-617.304319904,1
-196.377334505,-587.27075444,1
-228.516398178,461.038953625,1
236.945025682,-681.638410257,1
-544.535274248,404.812022686,1
1044.21529258,65.2370864952,1
-77.5573974856,-577.14298734,1
383.481942782,-363.9167438,1
75.7301616215,604.582817788,1
-575.221255658,-599.830298237,1
538.954099097,-141.13239854,1
-1333.6943813,57.582040558,1
483.877648701,738.569088889,1
-271.261758322,-446.661099394,1
-534.490140757,441.003706385,1
-335.546408622,469.664150398,1
-222.643931196,466.275635438,1
-701.373013902,261.707502254,1
784.327198676,-61.2149880696,1
59.5353222871,618.988118827,1
33.8380925385,-128.399160827,1
854.780847232,-43.4545514784,1
-526.986344549,253.872150779,1
-465.524494386,-531.319718096,1
496.783258087,750.685873136,1
368.379146224,705.004831938,1
311.264027312,702.187110329,1
353.037772567,-374.38424389,1
454.233465903,-294.148603797,1
1203.93567184,120.813734355,1
413.463763467,-326.139580063,1
861.465003235,-118.944843487,1
-1356.54776535,39.0461973803,1
-692.392937476,156.389074584,1
-431.036920859,-524.341678244,1
-211.220401488,-518.602377764,1
-297.631413525,-582.917028702,1
616.695279172,-122.415841748,1
241.559636335,-291.30370987,1
-859.255277478,387.226909867,1
-245.10719232,-502.0898151,1
1087.43282336,59.651997666,1
-558.715241775,-545.001678836,1
-111.334696068,-415.152121852,1
1432.09162324,40.4290002641,1
-203.70696113,402.209690656,1
17.4390772687,-432.931252229,1
-442.478472995,337.563607327,1
-105.933610505,-378.840308373,1
-1244.06672161,108.805472737,1
1238.09522999,123.442464922,1
-141.44785608,480.684545666,1
953.257195447,8.63399790642,1
-1396.32552652,-19.9709004851,1
1363.08240536,9.12527535978,1
-14.7596977565,-335.176003025,1
-60.7746310575,531.690370918,1
-456.662203557,267.86978223,1
436.250425845,-184.284526665,1
-782.870050117,270.301476645,1
-1324.8031976,19.4367012749,1
42.3880620053,-257.52550624,1
-383.992215729,302.400795157,1
-553.293161537,-542.513275889,1
-819.28311591,278.978611525,1
-204.200463335,-384.728055905,1
-1112.13446231,-3.6534015936,1
797.573287942,-67.5433975757,1
-257.619094312,-417.969452671,1
-1185.44641622,47.4030966399,1
-127.855092194,-312.441105137,1
-81.8966457977,515.867190649,1
-55.4745220443,529.558013958,1
-1018.87526092,73.3177703153,1
-613.842272514,180.824189036,1
384.284237275,-396.948640745,1
-1076.99311999,280.871905044,1
285.194225458,-213.977637168,1
-386.456446433,-433.487977595,1
-223.546352194,199.411527943,2
-289.840659406,335.802243986,2
-457.829838696,408.561131545,2
-218.23447593,379.338816573,2
809.303710398,-284.754417406,2
-504.278977483,389.974676691,2
357.3975158,-314.143991979,2
-281.257791357,402.941294713,2
217.157835944,-352.331105113,2
-343.225025873,457.563725651,2
-332.447388815,402.445276949,2
565.088607235,-383.192259365,2
687.415308383,-127.867384865,2
539.091625217,-134.799775511,2
-498.364001429,263.21264154,2
458.309541117,-332.938065721,2
-498.972977613,272.09691654,2
-559.096205767,310.068628315,2
755.169228105,-192.189115043,2
619.410199584,-145.326916246,2
-581.819360497,68.4336439488,2
-196.687149927,410.408505982,2
-654.122768435,265.821388555,2
502.276835696,-234.399295832,2
690.907714719,-108.542879423,2
-387.170040483,328.626748434,2
664.396281408,-172.635939989,2
735.796511629,-451.504955024,2
57.4944130015,-366.343841668,2
-177.368395944,496.716614611,2
869.519346757,-312.105478798,2
-652.880356641,355.833334972,2
-537.665325861,185.669916176,2
-372.223900136,309.81160403,2
771.311017319,-90.5222434571,2
395.812177727,-212.125666129,2
-460.213856742,201.99537779,2
444.040314311,-180.948070575,2
200.240533783,-358.047561729,2
-110.041564424,405.154307855,2
422.133861517,-315.956595484,2
-675.333413494,318.532356327,2
443.202705922,-124.52296014,2
688.79064432,-218.275048719,2
640.93738109,-178.944475153,2
451.680912746,-329.409927385,2
471.643364385,-179.533256172,2
137.892855868,-281.047445888,2
-230.744271208,428.566346998,2
201.555655645,-337.475749911,2
-459.205801123,193.686252176,2
558.587829668,-158.449226918,2
-432.622447992,371.370162841,2
361.812861254,-209.145180497,2
70.7517117879,-254.467854732,2
-278.260120517,398.02534153,2
-287.997522617,404.531101392,2
189.06265422,-449.054823584,2
-172.147633684,442.525507737,2
-564.022689841,340.051949607,2
-552.985845949,360.83945922,2
156.124286259,-242.203209519,2
362.440553042,-270.058428512,2
-692.990737723,215.82641918,2
-328.955957108,383.331936027,2
363.870659843,-263.894218499,2
185.035000468,-299.521016123,2
-578.191548939,270.780593858,2
-456.951171654,317.280771375,2
345.68695979,-250.570407368,2
-210.873187638,357.161496763,2
538.444194765,-198.693226492,2
267.266909267,-208.491567257,2
-177.540388344,493.342602316,2
434.603348248,-234.449286963,2
668.424282454,-159.47596055,2
198.978517419,-308.350348933,2
-688.777133943,250.803662659,2
-120.517138289,508.639296486,2
203.890530906,-258.86303018,2
534.860908101,-266.075642278,2
401.107014674,-225.553659814,2
438.602025542,-227.565187197,2
-451.478252637,344.346091527,2
388.744253237,-384.257956751,2
-481.335244513,246.983049742,2
439.685553234,-184.122981033,2
-595.400322712,252.322200354,2
324.350067803,-296.468023128,2
-176.008893066,449.951697708,2
316.11842235,-242.786655303,2
339.648898198,-221.612908981,2
382.303495951,-502.933751474,2
827.261553504,-129.610820464,2
228.549799873,-294.113393241,2
296.811374422,-446.933795358,2
170.444021485,-235.876342523,2
-538.498255515,264.108108577,2
35.5118731482,-311.323643725,2
84.9358592978,491.818608659,2
635.31108721,-186.328906728,2
-372.745933034,265.082078961,2
567.020853633,-231.042677827,2
386.783460388,-333.759226682,2
411.831336782,-263.598438357,2
-476.419244837,339.641886135,2
-239.350846056,434.69228208,2
-370.21697887,272.060005158,2
611.31222358,-104.604360527,2
-489.625955551,145.137515471,2
315.882439995,-366.517120763,2
-226.974575658,482.286604416,2
167.644708673,-400.411953303,2
222.031817434,-360.893992984,2
-97.6960439772,449.317677158,2
219.212556009,-393.933778824,2
-432.251112949,330.471522722,2
-520.752522231,371.225740121,2
819.382072198,-135.756627263,2
58.8462491637,-359.028693915,2
-318.76151423,226.983670652,2
505.42271645,-159.195468308,2
-670.23173211,274.461789977,2
-207.636080139,463.29241658,2
481.632222299,-231.332272521,2
-196.9587136,423.521739107,2
393.277588307,-358.289898377,2
684.449520017,-159.525317922,2
-577.740015433,213.005059727,2
479.54822769,-263.768227823,2
-456.036658304,422.216369145,2
-87.5171347699,468.218947989,2
-291.144883868,436.949603497,2
-867.173680134,359.656828232,2
746.276367389,-147.997971699,2
406.841084467,740.020555427,2
822.792579272,-75.637995716,2
243.628489897,651.725783019,2
1277.65329381,-16.5297191999,2
325.280622185,691.209893657,2
889.482998335,-17.8929663812,2
1289.28224199,74.2733154732,2
274.124467486,669.650832968,2
226.95616377,657.474110693,2
339.69481982,698.944307746,2
427.227532168,768.882386384,2
369.0285394,725.380995129,2
999.105344414,31.2520213517,2
1018.59023349,-31.0191981454,2
1242.93555122,59.089561987,2
686.716737005,-82.7500500351,2
326.431555267,690.602325409,2
84.5904199104,542.236503898,2
1117.83789616,92.5960541347,2
1379.02412581,134.949454353,2
1198.70005138,38.2421911901,2
1253.46891262,25.1530262443,2
1234.9027734,69.5546619281,2
1000.69243752,-27.4750367697,2
1308.21925596,-40.5567017415,2
1238.83264254,51.7757337693,2
282.453148158,684.86791602,2
230.301780222,640.542095037,2
903.089057096,-119.962190229,2
387.871261689,724.768349597,2
453.702471749,774.790656103,2
1215.36361837,37.3255695655,2
951.101636107,-39.2626732792,2
309.178223861,693.405387125,2
1243.4756409,148.352931174,2
1351.91656541,-43.6490306782,2
1287.72373493,-16.5623745737,2
811.556540179,-55.0371565473,2
1111.23692007,72.2453570476,2
1127.33438126,92.3001364452,2
1217.08494726,16.4874221648,2
1286.31154188,1.94667337323,2
378.803934926,738.698225595,2
368.756703708,731.992676663,2
1000.5906501,-102.635725659,2
74.382993645,498.295050677,2
97.4338336223,570.556480734,2
531.729732563,815.568260117,2
517.929807443,808.051299334,2
476.36038951,792.406033619,2
757.899662422,-51.1697120603,2
1402.75245022,51.2344076944,2
1317.25543204,-29.8776074237,2
1086.45686986,74.5116015712,2
898.113277823,-89.5984079773,2
483.769227337,794.226546246,2
110.140119062,626.861872804,2
1386.86393944,130.179714996,2
-63.006126595,529.010328349,2
1282.5243972,115.573615783,2
842.509181166,-232.599082377,2
1340.90458451,-11.549039375,2
-25.3861659959,514.921103586,2
42.2096711444,548.411890156,2
1306.57847345,69.4578281031,2
-75.6112297272,499.385022563,2
1128.07679223,84.7266126113,2
104.005875792,570.493266917,2
912.641331162,-19.6068367724,2
174.368856068,403.191881405,2
890.253311983,-12.7075380714,2
1356.99135758,-35.1175587781,2
1301.10625277,100.659052437,2
129.503705072,554.85529391,2
111.240759928,459.140367795,2
742.399266936,-54.6098283672,2
1049.92913728,-22.7351290708,2
1233.34791813,17.4906181776,2
172.528886391,617.786781899,2
399.056302847,742.640011644,2
223.932717869,681.199756694,2
1305.37022281,191.099554083,2
338.852292481,696.69319894,2
1128.96239738,84.2362777675,2
831.524460297,-76.6041076656,2
84.208008552,572.335478303,2
855.843671312,-110.62235874,2
509.590239423,810.950135617,2
9.2068070156,544.818513005,2
855.129250933,-88.2892849632,2
1390.48299405,38.9590648974,2
782.871899054,-27.2065009572,2
1369.54834602,124.432469041,2
171.781198068,627.376017597,2
-2.39890855959,537.312620939,2
25.2268082602,398.390262723,2
909.293111626,-37.8495172323,2
1292.38588682,-15.7674647442,2
421.878944232,745.424125123,2
-21.1097381589,535.034377325,2
875.438499122,24.0134307536,2
1456.91360678,73.6620470977,2
1379.80663525,125.09931114,2
1080.28922866,56.1508201112,2
1357.64692032,53.6550263967,2
1276.75709073,-8.7786914728,2
993.039397881,26.4539640182,2
1234.27818156,144.009960131,2
1340.81664739,18.3092346827,2
1295.05886995,-42.9562388016,2
1208.87957996,54.6560109104,2
907.880218503,14.4896617267,2
1362.69757295,-35.5355360528,2
1263.96590135,155.072606778,2
1392.92818368,49.2973334577,2
1236.85761385,83.9975062672,2
886.953593893,-77.3379260741,2
784.018388829,-133.045235828,2
855.196722519,-39.0536805074,2
521.566170896,808.207439074,2
1191.61456152,128.395211,2
165.274481765,610.562973282,2
723.083525399,-116.881187193,2
68.4065550487,552.34828621,2
455.663946514,782.181150008,2
1227.58394709,18.7387024078,2
1057.3117418,-97.5173525551,2
1253.58913373,87.312845624,2
441.451794682,756.645574843,2
1290.82889482,-22.0274759649,2
37.1583855493,566.053100371,2
-1200.94830272,-40.7842150709,2
182.141798966,-616.942923565,2
-1298.2450633,-30.066679975,2
44.3452649944,-426.350970918,2
-387.773731389,-468.267145019,2
-795.215354477,89.7094372617,2
-147.058221424,-352.647045038,2
-213.72007031,-490.408840681,2
-1093.0848198,19.5504511511,2
-856.480145535,48.1995585315,2
-1038.65511372,60.0983596188,2
-772.613618738,-36.565280837,2
-1081.2573332,243.633478155,2
-17.2111866068,-431.794057223,2
-973.931179546,70.1169527776,2
-270.726364708,-481.988104961,2
-1086.3031095,111.465003468,2
-406.675283983,-461.631652176,2
215.067189146,-420.18571391,2
-1189.21697322,32.6887331034,2
-152.146012294,-408.505423811,2
-832.113598644,219.389278949,2
-90.5512931364,-580.495214037,2
-1115.70579087,124.900503498,2
-913.724411704,223.330875417,2
-60.1456536729,-309.065539667,2
-468.241693024,-605.715390064,2
-96.3122241267,-323.623543671,2
-350.994473594,-550.877080304,2
-344.522703053,-568.745599477,2
-912.407769468,126.15981979,2
-1031.10723642,143.409062827,2
-1219.75091474,37.8561032768,2
-85.1783679175,-425.346858684,2
-1339.31592813,-53.5320920154,2
-173.12663567,-496.835483706,2
-666.410539647,230.152866343,2
-871.481407653,-127.038620768,2
-1029.55257785,102.651873825,2
-1059.42993438,160.977110916,2
-334.188605251,-426.505803509,2
-1033.59298149,-9.66136064162,2
-395.044208337,-358.242714395,2
-840.192274229,-51.7006837073,2
25.4219825207,-367.693827787,2
23.4692748206,-404.457460655,2
-325.414726696,-487.935153679,2
-353.816840693,-444.704169946,2
-1434.18728836,-76.0193604792,2
-104.554680836,-463.227175185,2
-1190.02011678,120.510221476,2
-1014.06585474,159.115125519,2
-456.954778717,-541.518414058,2
-56.5860128594,-559.788176103,2
-572.3605018,199.176304193,2
-1207.84800023,184.967386449,2
-305.827974916,-321.745070947,2
-287.621393621,-519.422436693,2
90.6813442294,-453.491905195,2
-1376.70140925,15.9425130224,2
-654.417448352,144.928874008,2
-1066.48005939,227.927269383,2
-1071.61534749,227.999770306,2
-1131.62293217,96.2381459963,2
-181.832377475,-488.020415682,2
-924.178838718,252.981547292,2
-571.240411798,-588.375371385,2
-1143.28086278,138.271037603,2
-1279.29346146,106.815135872,2
-816.825173634,63.2492294857,2
-192.877200928,-369.110933035,2
-269.639301529,-429.15809642,2
-243.277694982,-573.454674472,2
-312.723920053,-433.772058057,2
-489.195887424,-503.23334137,2
-855.976341334,135.572997698,2
-570.918436742,-592.746836295,2
-779.742538939,259.940071882,2
-1030.32173272,133.089033453,2
-1150.25522388,-8.45145046178,2
-708.868131188,208.276264622,2
-839.314673846,93.3091121683,2
-546.968119497,-629.536826122,2
-436.515248033,-606.074283438,2
-1217.03552652,10.2820134055,2
-1336.76335898,21.852706584,2
-1293.57200439,-21.6684611244,2
-1265.97262613,62.616842265,2
-809.03704954,130.159124969,2
-1085.81167747,71.6288821997,2
-749.078445762,215.89281919,2
-154.868920372,-367.190981769,2
-334.571854318,-526.283926948,2
58.7202748947,-456.020687533,2
-509.359313365,-599.404260927,2
-958.242127655,15.6488103684,2
-196.542876888,-553.78295206,2
-31.2618395798,-704.955407273,2
-892.099698212,24.2586960307,2
-40.1424622766,-448.89315223,2
-1383.64137699,-23.5308017248,2
-479.224755033,-463.715334662,2
-950.918820284,211.612554564,2
-1036.91789181,30.0954913955,2
-987.72021103,195.538139484,2
-514.328718178,-528.312145975,2
-420.268216286,-519.578716967,2
91.1237175505,-742.353375532,2
-453.617011212,-541.385628535,2
-1370.89770003,-32.3243697789,2
-474.057509569,-561.450257312,2
